FIPS,abbrv,class_start,crrt_scheme,iped,lrn_scheme,move-in,pop,pretest,state_share,univ
55025,UWM,9/2/2020,,240444,,8/24/2020,55401,,"[61, 39]",UNIVERSITY OF WISCONSIN-MADISON
53033,UW,9/30/2020,,236948,,9/25/2020,59473,,"[61, 39]",UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS
36029,UB,8/31/2020,,196088,,8/22/2020,31174,,"[98, 2]",UNIVERSITY AT BUFFALO
36019,CU,9/2/2020,,190415,,8/23/2020,33642,,"[43, 57]",CORNELL UNIVERSITY
48453,UTAUS,8/26/2020,,228778,,8/17/2020,63345,,"[92, 8]",THE UNIVERSITY OF TEXAS AT AUSTIN
17019,UIUC,1/24/2021,,145637,,8/16/2020,54350,,"[88, 12]",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN
18141,UND,1/9/2021,,152080,,8/2/2020,18649,,"[16, 84]",UNIVERSITY OF NOTRE DAME
37135,UNC,1/10/2021,,199120,,8/3/2020,39049,,"[87, 13]",UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL
51003,UVA,2/1/2021,,234076,,1/26/2021,31623,,"[68, 32]",UNIVERSITY OF VIRGINIA-MAIN CAMPUS
39049,OSU,8/25/2020,hybrid,204796,hybrid,8/18/2020,84711,,"[78, 22]",OHIO STATE UNIVERSITY-MAIN CAMPUS
4019,UArizona,8/24/2020,hybrid,104179,hybrid,8/17/2020,48602,,"[60, 40]",UNIVERSITY OF ARIZONA
39049,OSU,9/25/2020,hybrid,204796,hybrid,,84711,,"[78, 22]",OHIO STATE UNIVERSITY-MAIN CAMPUS
4019,UArizona,9/24/2020,hybrid,104179,hybrid,,48602,,"[60, 40]",UNIVERSITY OF ARIZONA
51121,VT,9/24/2020,hybrid,233921,hybrid,9/24/2020,39773,optional,"[76, 24]",VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
